1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th
315394920,445926060,445935366,442093038,256889658,566560535,445937224,188849460,587632031,584188386,590438212,481389784,481389784
1547192512,1547193062,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512,1547193062,1547192512,1547193062,1547193062
1547195351,1547196877,1547195869,1547195605,1547196222,1547196701,1547196701,1547195351,1547195869,1547196701,1547196701,1547195351,1547195351
1547429909,1547429292,1547429292,1547428994,1547431139,1547431139,1547430644,1547430644,1547429292,1547428994,1547431139,1547429292,1547429292
1547014411,1547017446,1547018010,1547018010,1547014411,1547018010,1547017446,1547014411,1547017446,1547014411,1547017446,1547017446,1547017446
1543286718,1543284750,1543286062,1543286640,1543286600,1543286640,1543286600,1543286640,1543286600,1543286600,1543286117,1543286718,1543286718
1547193891,1547193151,1547193151,1547193891,1547193891,1547193891,1547193151,1547193151,1547193891,1547193151,1547193151,1547193151,1547193151
384274798,504910785,377353302,442093842,481897660,365098903,445936283,307998406,397457110,557529720,561470571,481213642,481213642
1543286640,1543286062,1543286718,1543285418,1543286718,1543284750,1543286117,1543285418,1543286600,1543286600,1543286640,1543286600,1543286600
1547017446,1547017446,1547018010,1547014411,1547017446,1547017446,1547017446,1547017446,1547017446,1547018010,1547017446,1547017446,1547017446
377352821,519598756,590440071,445938280,188852428,307998406,307998406,228845491,247722066,445941316,307998406,315393183,315393183
1547427506,1547427506,1547427506,1547428994,1547427506,1547430644,1547430644,1547431139,1547428994,1547430147,1547427506,1547428994,1547428994
1547192512,1547192512,1547193062,1547193062,1547192512,1547193062,1547192512,1547193062,1547192512,1547192512,1547193062,1547192512,1547192512
1547193062,1547193062,1547193062,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062,1547193062,1547193062,1547193062,1547193062
377354499,380234258,469978143,557533700,188862738,504912382,450179102,445934852,548679473,272101431,437497147,445940858,445940858
1547014411,1547017446,1547014411,1547018010,1547014411,1547017446,1547018010,1547014411,1547018010,1547014411,1547017446,1547014411,1547014411
1547193151,1547193151,1547193891,1547193151,1547193151,1547193891,1547193151,1547193891,1547193891,1547193891,1547193151,1547193891,1547193891
1543286062,1543286062,1543285418,1543286117,1543286640,1543286718,1543286600,1543285418,1543286718,1543286640,1543284750,1543286640,1543286640
1547193062,1547193062,1547192512,1547192512,1547193062,1547192512,1547193062,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062
1543286600,1543284750,1543286117,1543285418,1543286117,1543285418,1543286600,1543286718,1543286600,1543286117,1543284750,1543286600,1543286600
481211727,450178911,504807317,587630992,557537370,188849700,377351070,557537073,307998406,437617207,188862738,504807925,504807925
590093205,469979120,584188131,324360699,481388875,413779384,557537073,460931821,1543286640,557537073,504900956,188857038,188857038
1543286640,315397075,290792161,557533573,557530727,278026203,256909504,481387509,557530413,445934370,510433669,1543286640,1543286640
1543286718,1543284750,1543286117,1543286600,1543285418,1543286718,1543286062,1543285418,1543286718,1543285418,1543286117,1543286600,1543286600
1543286117,1543286600,1543286062,1543285418,1543284750,1543285418,1543286718,1543286718,1543286718,1543286640,1543286600,1543285418,1543285418
1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547193062,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062
1547017446,1547014411,1547014411,1547018010,1547014411,1547014411,1547018010,1547018010,1547018010,1547018010,1547017446,1547014411,1547014411
1547014411,1547018010,1547014411,1547017446,1547018010,1547018010,1547018010,1547018010,1547018010,1547017446,1547018010,1547014411,1547014411
1543286117,1543286600,1543286718,1543286640,1543284750,1543286600,1543286600,1543286062,1543284750,1543285418,1543284750,1543285418,1543285418
1531801305,1531787977,1531801122,1531801122,1531787589,1531801122,1531801305,1531801305,1531801305,1531787589,1531801122,1531801305,1531801305
1531787977,1531801305,1531787977,1531801305,1531787589,1531801305,1531787977,1531787977,1531801305,1531787977,1531801122,1531801122,1531801122
1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512,1547192512,1547193062,1547192512,1547193062,1547193062,1547193062
1547017446,1547018010,1547014411,1547018010,1547018010,1547018010,1547014411,1547017446,1547014411,1547017446,1547018010,1547017446,1547017446
1543286718,1543286718,1543286117,1543285418,1543286062,1543286718,1543286640,1543286718,1543286718,1543286600,1543286117,1543286600,1543286600
1531801122,1531787589,1531801122,1531787977,1531801305,1531801122,1531787589,1531787977,1531801305,1531801305,1531787977,1531787589,1531787589
1547193891,1547193891,1547193891,1547193151,1547193151,1547193891,1547193151,1547193891,1547193151,1547193891,1547193891,1547193151,1547193151
1547195869,1547196701,1547195351,1547195351,1547196877,1547195869,1547195605,1547196877,1547195605,1547195869,1547196222,1547195605,1547195605
1531801122,1531801305,1531787977,1531787589,1531801305,1531787977,1531801122,1531801305,1531787977,1531801305,1531801305,1531787977,1531787977
1531787589,1531801122,1531801122,1531801122,1531801305,1531787977,1531787589,1531787589,1531787589,1531787589,1531787589,1531801305,1531801305
413821121,504793898,510434415,450179110,469978570,594201269,441575281,445934370,504900956,587632062,365731711,548679473,548679473
126535623,456099376,590440071,307998406,557537073,397457139,580807562,384274798,188862738,445940998,384274798,377353114,377353114
1547195869,1547196877,1547195605,1547195605,1547196222,1547196701,1547196877,1547196877,1547195869,1547196877,1547196877,1547195605,1547195605
1531787977,1531801122,1531787977,1531787977,1531801305,1531801122,1531787589,1531801122,1531801305,1531801305,1531787589,1531787589,1531787589
481388029,377354909,377316373,460931788,584299940,481387974,1543286640,584187818,469977767,527090196,324368599,443350791,443350791
1547430644,1547430644,1547427506,1547427506,1547428994,1547430644,1547430147,1547428994,1547427506,1547428994,1547431139,1547428994,1547428994
1547014411,1547018010,1547014411,1547018010,1547014411,1547014411,1547018010,1547014411,1547014411,1547018010,1547017446,1547017446,1547017446
1531787977,1531787977,1531787977,1531787589,1531787589,1531801305,1531801305,1531787977,1531787977,1531787977,1531801122,1531801122,1531801122
510508658,557537073,557534753,377316373,445936054,548679473,445929715,590439852,188862738,481209639,557537073,332620489,332620489
1547018010,1547017446,1547014411,1547018010,1547014411,1547014411,1547018010,1547017446,1547014411,1547014411,1547014411,1547017446,1547017446
1547193062,1547192512,1547192512,1547193062,1547192512,1547192512,1547193062,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512
1547196222,1547196877,1547195869,1547195351,1547195351,1547195605,1547195351,1547196222,1547196877,1547195605,1547195869,1547196701,1547196701
1547017446,1547014411,1547014411,1547014411,1547014411,1547017446,1547014411,1547014411,1547018010,1547017446,1547014411,1547018010,1547018010
1547430147,1547430644,1547429909,1547429292,1547430147,1547428994,1547427506,1547429909,1547430644,1547429292,1547429909,1547429909,1547429909
1531801122,1531787589,1531787589,1531787977,1531801305,1531801305,1531801305,1531801305,1531801305,1531801122,1531787589,1531787589,1531787589
1547428994,1547428994,1547430147,1547430147,1547430147,1547428994,1547428994,1547429292,1547429909,1547430644,1547431139,1547430147,1547430147
1547196701,1547195605,1547196701,1547195869,1547196877,1547196701,1547195605,1547196222,1547196701,1547196877,1547195869,1547196222,1547196222
1543286117,1543285418,1543286718,1543286117,1543286117,1543286117,1543284750,1543286117,1543284750,1543286640,1543286600,1543286718,1543286718
1547193891,1547193891,1547193891,1547193151,1547193151,1547193891,1547193151,1547193891,1547193891,1547193891,1547193151,1547193151,1547193151
1547429909,1547430644,1547430147,1547430644,1547428994,1547431139,1547429292,1547431139,1547431139,1547430644,1547427506,1547430644,1547430644
594381089,504797716,437495533,557534813,383082305,445940040,442093255,397457108,384274798,557528512,377353876,469326359,469326359
1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547193062,1547193062
1547195605,1547196701,1547196701,1547196877,1547195351,1547195869,1547195351,1547196701,1547196701,1547195605,1547196222,1547196701,1547196701
1547196222,1547196701,1547196877,1547196222,1547195351,1547196877,1547195351,1547195605,1547196877,1547196222,1547195605,1547195351,1547195351
1531787977,1531787589,1531787977,1531787589,1531801122,1531787977,1531787977,1531787589,1531801122,1531801122,1531801122,1531801305,1531801305
1547193151,1547193891,1547193891,1547193891,1547193891,1547193151,1547193891,1547193151,1547193151,1547193891,1547193891,1547193151,1547193151
443624361,519598479,187681442,481389775,482725181,247721961,482725333,481383951,442093975,557537073,442595819,1547178448,1547178448
1547195351,1547196701,1547196877,1547195351,1547196222,1547195869,1547195351,1547196222,1547195605,1547195869,1547196877,1547195605,1547195605
1547430147,1547429909,1547428994,1547428994,1547429909,1547430644,1547430147,1547429292,1547427506,1547431139,1547430644,1547430644,1547430644
1547017446,1547017446,1547017446,1547017446,1547017446,1547018010,1547017446,1547017446,1547017446,1547017446,1547017446,1547014411,1547014411
1547193151,1547193891,1547193151,1547193891,1547193151,1547193151,1547193891,1547193151,1547193151,1547193891,1547193891,1547193151,1547193151
1543285418,1543286062,1543286062,1543286640,1543286600,1543286062,1543286640,1543285418,1543286640,1543286640,1543285418,1543286600,1543286600
1531801305,1531801122,1531801305,1531787589,1531787977,1531787589,1531801122,1531801305,1531801122,1531787977,1531801122,1531787589,1531787589
1547429909,1547429909,1547429909,1547428994,1547429909,1547429292,1547430644,1547430644,1547430147,1547430644,1547430147,1547430644,1547430644
1531801305,1531787589,1531787589,1531787977,1531801305,1531801305,1531801305,1531787977,1531787977,1531787589,1531787589,1531787589,1531787589
1531787977,1531801305,1531801122,1531787977,1531787977,1531801305,1531787589,1531787977,1531787977,1531787977,1531787977,1531801122,1531801122
1547429909,1547427506,1547429909,1547430644,1547430147,1547427506,1547431139,1547429909,1547431139,1547427506,1547430147,1547428994,1547428994
1547018010,1547018010,1547014411,1547014411,1547018010,1547017446,1547017446,1547014411,1547014411,1547017446,1547017446,1547014411,1547014411
1543286718,1543284750,1543285418,1543285418,1543286117,1543286718,1543286718,1543284750,1543286640,1543286062,1543286117,1543286117,1543286117
445940982,522067685,504910258,126536372,445941449,557536314,514693049,450178945,470981561,384274798,504797716,557537256,557537256
1547018010,1547017446,1547018010,1547014411,1547018010,1547018010,1547018010,1547017446,1547018010,1547017446,1547018010,1547018010,1547018010
1547018010,1547014411,1547014411,1547018010,1547018010,1547017446,1547018010,1547017446,1547018010,1547014411,1547017446,1547014411,1547014411
1531801122,1531787977,1531787977,1531801305,1531801305,1531787977,1531787977,1531801305,1531787977,1531787589,1531787589,1531801305,1531801305
1547014411,1547017446,1547018010,1547017446,1547018010,1547017446,1547017446,1547017446,1547014411,1547014411,1547017446,1547014411,1547014411
1547429909,1547430644,1547430147,1547431139,1547429292,1547430644,1547431139,1547429909,1547430644,1547430147,1547430644,1547429909,1547429909
1547431139,1547427506,1547429292,1547430644,1547430644,1547429909,1547429292,1547431139,1547429292,1547429292,1547429292,1547430644,1547430644
1547014411,1547018010,1547017446,1547014411,1547017446,1547017446,1547017446,1547017446,1547018010,1547014411,1547018010,1547017446,1547017446
1547430147,1547428994,1547427506,1547430644,1547428994,1547427506,1547430147,1547429909,1547430147,1547430644,1547430644,1547431139,1547431139
557537073,451087500,481213642,504804140,445937704,437492327,557154921,445940920,557529720,456099520,451085097,481897660,481897660
1531787589,1531787589,1531787977,1531787589,1531787589,1531787977,1531787977,1531801305,1531801305,1531801122,1531801305,1531787589,1531787589
1547429909,1547429292,1547430644,1547430147,1547429909,1547430644,1547430644,1547430147,1547428994,1547429909,1547430147,1547430147,1547430147
1543284750,1543285418,1543284750,1543286640,1543285418,1543286062,1543284750,1543284750,1543286062,1543284750,1543286600,1543286117,1543286117
1547431139,1547430644,1547429292,1547429292,1547430147,1547429292,1547428994,1547429292,1547428994,1547431139,1547430147,1547429292,1547429292
1543286117,1543286062,1543286117,1543286062,1543285418,1543286718,1543286640,1543284750,1543286640,1543286600,1543286600,1543286117,1543286117
1547014411,1547018010,1547014411,1547014411,1547017446,1547017446,1547017446,1547014411,1547014411,1547018010,1547014411,1547014411,1547014411
1531787589,1531787589,1531801122,1531801122,1531801305,1531801122,1531787589,1531801305,1531787977,1531787589,1531787589,1531801122,1531801122
456099376,527089999,481209937,557537073,557537662,481389598,377353231,307998406,451087514,315392630,590440071,454770862,454770862
1547018010,1547014411,1547014411,1547014411,1547014411,1547014411,1547014411,1547017446,1547017446,1547018010,1547017446,1547018010,1547018010
188862738,349009510,504905636,587617958,557537073,445940038,437498609,188862738,557537256,451085097,437496042,437494313,437494313
1547014411,1547017446,1547018010,1547018010,1547014411,1547014411,1547018010,1547018010,1547018010,1547014411,1547014411,1547014411,1547014411
1547196701,1547195605,1547195869,1547195351,1547196877,1547196877,1547195605,1547196877,1547195351,1547195869,1547195605,1547195605,1547195605
481389782,442359102,480614517,493683529,594380719,256882753,584299978,488879190,378422657,437495075,457628592,504899715,504899715
1547018010,1547014411,1547014411,1547017446,1547018010,1547014411,1547014411,1547014411,1547017446,1547018010,1547017446,1547018010,1547018010
587631011,594381011,504807925,315393434,384274798,445936283,514692884,307998406,445940038,519855689,384274798,445941316,445941316
1547193891,1547193151,1547193151,1547193151,1547193891,1547193151,1547193151,1547193891,1547193151,1547193151,1547193151,1547193891,1547193891
1547429909,1547430644,1547429909,1547430644,1547429909,1547429909,1547429909,1547427506,1547431139,1547429292,1547430147,1547430147,1547430147
1547428994,1547429909,1547431139,1547431139,1547430644,1547430147,1547430644,1547427506,1547427506,1547427506,1547431139,1547430644,1547430644
1547014411,1547017446,1547018010,1547014411,1547018010,1547018010,1547018010,1547014411,1547014411,1547018010,1547017446,1547018010,1547018010
1543286600,1543285418,1543286718,1543286062,1543285418,1543284750,1543286600,1543286062,1543285418,1543286640,1543286062,1543286117,1543286117
584188982,527090106,188862738,504899715,1547017419,557535201,469978449,272101450,377352204,437491280,349010271,413778693,413778693
1547430147,1547430644,1547431139,1547427506,1547428994,1547429292,1547429292,1547431139,1547429909,1547430147,1547430644,1547427506,1547427506
1547196877,1547195605,1547196222,1547196877,1547196877,1547196222,1547195351,1547195869,1547196701,1547196222,1547196877,1547195605,1547195605
1543286600,1543286117,1543286117,1543286062,1543286600,1543286600,1543286640,1543286718,1543286600,1543286117,1543286718,1543286640,1543286640
1547195869,1547196222,1547196701,1547196222,1547196222,1547196701,1547196222,1547196877,1547195869,1547196701,1547195605,1547196701,1547196701
1547192512,1547192512,1547192512,1547192512,1547192512,1547192512,1547193062,1547193062,1547193062,1547192512,1547193062,1547193062,1547193062
1543286117,1543286718,1543286640,1543284750,1543286117,1543286062,1543286117,1543286062,1543284750,1543286600,1543286117,1543286718,1543286718
215882571,315395391,510508817,548679976,557537073,557540605,1547174591,272103586,258869590,510691938,349009298,188862738,188862738
383040023,469979150,1547172564,1547174915,520004327,519599250,445939747,445937508,378422517,481389110,594380318,437497090,437497090
1531801122,1531801305,1531787977,1531787977,1531787589,1531787589,1531801122,1531801122,1531801305,1531787589,1531801305,1531801122,1531801122
1547427506,1547430644,1547429292,1547427506,1547431139,1547428994,1547430644,1547431139,1547431139,1547429292,1547431139,1547427506,1547427506
1547193062,1547192512,1547192512,1547192512,1547192512,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512,1547192512
1547172074,469978383,1543286640,349010271,469978400,272104512,557535201,481386668,587473342,527090106,381924497,1543286640,1543286640
445785117,377352920,445935923,413823388,368671508,469978540,452708564,445941316,441576011,520004533,377353876,307998406,307998406
382972645,587631830,442359126,442093391,510508050,584299978,249002677,514692884,557533610,540236188,377352204,445939812,445939812
590644804,448965793,368522922,587632041,1547172074,469979150,557540359,469978143,587631926,594380691,1547176360,445749600,445749600
1543286062,1543286117,1543286640,1543286600,1543286062,1543286117,1543286062,1543284750,1543285418,1543284750,1543286640,1543285418,1543285418
1547017446,1547017446,1547014411,1547018010,1547018010,1547017446,1547018010,1547014411,1547017446,1547018010,1547014411,1547017446,1547017446
437618155,557537073,481214341,188862738,307998406,437492327,504804140,519855626,519855689,504804140,557537256,441575980,441575980
557537073,493683247,149902246,442092792,1543286640,504915071,290788416,469977101,587473294,365062249,188863112,247722015,247722015
469978143,557532959,1543286640,445939918,258872154,481389110,413826920,437495075,264162202,377359993,383040203,1547171473,1547171473
377353876,451087524,377359870,510164596,256896673,222584378,557537073,458902430,188857358,126536372,437617450,587473611,587473611
1547193062,1547193062,1547192512,1547192512,1547193062,1547192512,1547192512,1547192512,1547193062,1547193062,1547192512,1547192512,1547192512
1547193062,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512
1547193151,1547193891,1547193891,1547193151,1547193151,1547193891,1547193151,1547193151,1547193891,1547193151,1547193891,1547193151,1547193151
1547014411,1547018010,1547017446,1547018010,1547014411,1547014411,1547018010,1547018010,1547017446,1547014411,1547014411,1547014411,1547014411
1547193151,1547193151,1547193891,1547193891,1547193891,1547193891,1547193151,1547193891,1547193151,1547193891,1547193151,1547193151,1547193151
590440761,445940999,442093842,384274798,469458718,584187947,445823230,520004685,481210417,587630540,188857358,557537073,557537073
1547192512,1547192512,1547192512,1547192512,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062,1547193062,1547192512,1547192512
441576251,168933483,437498609,557154921,510507775,481283412,324362253,365098903,451085097,445936090,481208454,397457107,397457107
1547196222,1547195605,1547196877,1547195351,1547195351,1547196701,1547196877,1547196877,1547196701,1547196701,1547196222,1547196877,1547196877
377352920,504809402,445941092,587631904,454771022,445941014,587631868,451087524,504808133,594381408,384274798,437617175,437617175
456099376,397457112,307998406,590440761,520004733,437496042,557528512,413826401,583128222,247722705,481389634,504797165,504797165
469978459,188862738,441576318,557537314,384274798,504906986,590441174,384274798,469458718,557537073,481211815,258868045,258868045
1531787589,1531801122,1531787589,1531801305,1531787977,1531801122,1531801305,1531801122,1531801122,1531801305,1531801122,1531787977,1531787977
1547429292,1547427506,1547428994,1547429292,1547428994,1547429909,1547431139,1547427506,1547427506,1547429909,1547429292,1547427506,1547427506
557534753,587632068,587620462,1547171473,1543286640,383913267,587631752,584187818,1547018878,445932810,460931821,315394810,315394810
1547192512,1547192512,1547193062,1547192512,1547192512,1547193062,1547193062,1547192512,1547192512,1547193062,1547192512,1547192512,1547192512
1547014411,1547014411,1547017446,1547014411,1547017446,1547014411,1547018010,1547014411,1547014411,1547017446,1547014411,1547017446,1547017446
1547428994,1547429292,1547427506,1547430644,1547429292,1547428994,1547431139,1547431139,1547430644,1547428994,1547428994,1547427506,1547427506
1547195351,1547196877,1547196701,1547195605,1547196877,1547195605,1547196877,1547196877,1547196701,1547195351,1547196222,1547196877,1547196877
1547193062,1547193062,1547193062,1547193062,1547192512,1547193062,1547192512,1547193062,1547192512,1547192512,1547193062,1547193062,1547193062
1531787977,1531787977,1531787589,1531801122,1531787977,1531787589,1531787977,1531801305,1531787589,1531787589,1531787977,1531787977,1531787977
1547193062,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062,1547192512,1547192512,1547192512,1547192512,1547192512,1547192512
1547193151,1547193151,1547193151,1547193891,1547193151,1547193151,1547193151,1547193891,1547193891,1547193151,1547193151,1547193891,1547193891
1547018010,1547017446,1547018010,1547014411,1547014411,1547014411,1547017446,1547018010,1547018010,1547014411,1547017446,1547018010,1547018010
1547193891,1547193151,1547193151,1547193151,1547193891,1547193151,1547193151,1547193891,1547193151,1547193891,1547193891,1547193151,1547193151
1547193062,1547192512,1547192512,1547192512,1547193062,1547192512,1547193062,1547193062,1547193062,1547192512,1547192512,1547192512,1547192512
1547192512,1547193062,1547193062,1547192512,1547193062,1547192512,1547192512,1547192512,1547193062,1547192512,1547192512,1547193062,1547193062
1547193062,1547193062,1547193062,1547193062,1547193062,1547192512,1547192512,1547193062,1547192512,1547192512,1547192512,1547193062,1547193062
1547429909,1547427506,1547430147,1547430644,1547431139,1547428994,1547431139,1547429292,1547428994,1547430644,1547429909,1547430147,1547430147
1547193151,1547193151,1547193891,1547193891,1547193151,1547193151,1547193151,1547193151,1547193151,1547193891,1547193151,1547193151,1547193151
1547193891,1547193891,1547193151,1547193891,1547193891,1547193891,1547193151,1547193151,1547193891,1547193891,1547193891,1547193151,1547193151
1547195869,1547195605,1547196222,1547196877,1547195605,1547195351,1547196222,1547196222,1547195605,1547196877,1547196222,1547196877,1547196877
1531801305,1531801122,1531787589,1531801122,1531787977,1531787589,1531801305,1531787977,1531787977,1531801122,1531801305,1531801305,1531801305
481210259,504845587,168931505,481211916,451087524,441575980,590440178,557538975,188862738,481214341,557537370,324361934,324361934
469979012,443350803,504905673,594380794,587630646,481385942,437491339,504904599,587631967,1547019293,481210793,383084878,383084878
1547430147,1547430644,1547431139,1547430147,1547431139,1547430147,1547430644,1547429909,1547431139,1547427506,1547431139,1547429292,1547429292
1547192512,1547192512,1547193062,1547192512,1547192512,1547193062,1547192512,1547193062,1547192512,1547193062,1547192512,1547192512,1547192512
1547193151,1547193891,1547193891,1547193891,1547193891,1547193891,1547193151,1547193891,1547193891,1547193891,1547193891,1547193891,1547193891
1547428994,1547431139,1547427506,1547429909,1547430147,1547429909,1547430644,1547430644,1547428994,1547430644,1547430147,1547429292,1547429292
1547192512,1547192512,1547193062,1547192512,1547192512,1547193062,1547192512,1547192512,1547193062,1547193062,1547193062,1547192512,1547192512
1547430644,1547430147,1547427506,1547430147,1547427506,1547427506,1547431139,1547430147,1547429292,1547430147,1547430644,1547429909,1547429909
1547193062,1547193062,1547192512,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062,1547192512,1547193062,1547193062,1547193062
1547017446,1547017446,1547017446,1547018010,1547018010,1547017446,1547017446,1547017446,1547017446,1547014411,1547014411,1547018010,1547018010
392599393,377356711,557537662,557532603,587631011,514692884,365098808,377351070,469978465,447293452,445937704,442093441,442093441
1547195605,1547196222,1547195869,1547195605,1547196701,1547196701,1547196877,1547196877,1547195605,1547196877,1547195351,1547196701,1547196701
1547195869,1547195351,1547196877,1547196222,1547196222,1547196701,1547195869,1547195605,1547196877,1547196222,1547195605,1547196222,1547196222
1547429909,1547430147,1547429292,1547429909,1547429909,1547431139,1547430147,1547429292,1547430147,1547429909,1547431139,1547431139,1547431139
1547196877,1547196222,1547196701,1547196701,1547196877,1547196877,1547196222,1547195351,1547195869,1547196701,1547196877,1547196222,1547196222
1547014411,1547017446,1547018010,1547014411,1547014411,1547017446,1547017446,1547014411,1547017446,1547017446,1547014411,1547017446,1547017446
290789717,587631746,504905612,557537073,584187947,445940040,514692966,452708430,445940997,307998406,587617958,377353114,377353114
1531787589,1531787977,1531801305,1531787589,1531801305,1531801305,1531801305,1531801305,1531787589,1531801122,1531801305,1531787977,1531787977
1547018010,1547017446,1547014411,1547014411,1547018010,1547014411,1547018010,1547014411,1547018010,1547017446,1547017446,1547014411,1547014411
1531787589,1531787589,1531787977,1531787589,1531787977,1531801122,1531787977,1531787977,1531787589,1531787589,1531801305,1531787977,1531787977
1547193151,1547193891,1547193151,1547193151,1547193151,1547193151,1547193151,1547193891,1547193151,1547193151,1547193891,1547193891,1547193891
1547192512,1547193062,1547192512,1547193062,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062,1547192512,1547193062,1547193062
1547428994,1547430644,1547428994,1547428994,1547430644,1547428994,1547429292,1547430644,1547431139,1547430644,1547431139,1547430644,1547430644
1547018010,1547018010,1547017446,1547018010,1547017446,1547014411,1547017446,1547018010,1547017446,1547018010,1547017446,1547017446,1547017446
1547430644,1547430644,1547427506,1547430644,1547429909,1547430644,1547428994,1547428994,1547428994,1547429292,1547428994,1547429909,1547429909
1547428994,1547427506,1547428994,1547430644,1547427506,1547431139,1547428994,1547429292,1547429292,1547429292,1547431139,1547429292,1547429292
1547196222,1547195605,1547195351,1547196701,1547195605,1547196701,1547195605,1547195869,1547196701,1547196701,1547196222,1547195869,1547195869
557532861,481247513,452600652,205494903,445940032,584188386,587631262,413778952,584188045,368522909,469978713,557529268,557529268
1531801122,1531787589,1531801305,1531787589,1531787977,1531801305,1531801305,1531801305,1531787589,1531801305,1531787589,1531787977,1531787977
510308383,590439960,557537073,514693173,445935880,1543286640,456113065,481387889,584121134,188862738,478691892,356679599,356679599
1547193151,1547193891,1547193891,1547193151,1547193891,1547193151,1547193151,1547193151,1547193151,1547193891,1547193891,1547193891,1547193891
1547196877,1547195869,1547196701,1547195605,1547195351,1547195351,1547196222,1547195869,1547195605,1547196877,1547195869,1547196701,1547196701
587630833,566560535,1543286640,1547177107,548679772,469977356,445929561,1547175841,437614878,565930788,504795948,452708454,452708454
1547014411,1547017446,1547017446,1547017446,1547018010,1547017446,1547014411,1547017446,1547018010,1547018010,1547017446,1547017446,1547017446
1547192512,1547193062,1547193062,1547193062,1547192512,1547192512,1547192512,1547193062,1547192512,1547193062,1547193062,1547193062,1547193062
1547014411,1547014411,1547018010,1547014411,1547014411,1547018010,1547018010,1547018010,1547017446,1547018010,1547017446,1547017446,1547017446
1547014411,1547014411,1547017446,1547017446,1547017446,1547014411,1547018010,1547014411,1547018010,1547014411,1547018010,1547017446,1547017446
587632031,315395001,469979162,452600777,445940446,463083888,526531383,1543286640,368671158,519855675,442595824,469978689,469978689
1547193891,1547193151,1547193151,1547193151,1547193151,1547193151,1547193151,1547193891,1547193891,1547193151,1547193151,1547193151,1547193151
1531801305,1531787977,1531801122,1531801122,1531787977,1531801122,1531787589,1531787977,1531787589,1531801122,1531801305,1531801305,1531801305
1547193062,1547193062,1547192512,1547192512,1547192512,1547192512,1547193062,1547192512,1547193062,1547193062,1547192512,1547193062,1547193062
