,0,1,2,3,4,5,6,7,8,9,10,11,12,13
98.18.240.246,13.0,1547193891.0,1547193151.0,1547193151.0,1547193891.0,1547193891.0,1547193891.0,1547193151.0,1547193151.0,1547193891.0,1547193151.0,1547193151.0,1547193151.0,1547193151.0
78.74.233.102,30.0,384274798.0,504910785.0,377353302.0,442093842.0,481897660.0,365098903.0,445936283.0,307998406.0,397457110.0,557529720.0,561470571.0,481213642.0,481213642.0
237.232.110.79,40.0,1543286640.0,1543286062.0,1543286718.0,1543285418.0,1543286718.0,1543284750.0,1543286117.0,1543285418.0,1543286600.0,1543286600.0,1543286640.0,1543286600.0,1543286600.0
157.164.105.153,50.0,1547017446.0,1547017446.0,1547018010.0,1547014411.0,1547017446.0,1547017446.0,1547017446.0,1547017446.0,1547017446.0,1547018010.0,1547017446.0,1547017446.0,1547017446.0
93.83.224.163,30.0,377352821.0,519598756.0,590440071.0,445938280.0,188852428.0,307998406.0,307998406.0,228845491.0,247722066.0,445941316.0,307998406.0,315393183.0,315393183.0
145.13.124.197,11.0,1547427506.0,1547427506.0,1547427506.0,1547428994.0,1547427506.0,1547430644.0,1547430644.0,1547431139.0,1547428994.0,1547430147.0,1547427506.0,1547428994.0,1547428994.0
43.69.217.131,70.0,1547192512.0,1547192512.0,1547193062.0,1547193062.0,1547192512.0,1547193062.0,1547192512.0,1547193062.0,1547192512.0,1547192512.0,1547193062.0,1547192512.0,1547192512.0
57.101.81.138,70.0,1547193062.0,1547193062.0,1547193062.0,1547193062.0,1547192512.0,1547193062.0,1547193062.0,1547193062.0,1547193062.0,1547193062.0,1547193062.0,1547193062.0,1547193062.0
189.89.47.163,20.0,377354499.0,380234258.0,469978143.0,557533700.0,188862738.0,504912382.0,450179102.0,445934852.0,548679473.0,272101431.0,437497147.0,445940858.0,445940858.0
252.100.46.182,50.0,1547014411.0,1547017446.0,1547014411.0,1547018010.0,1547014411.0,1547017446.0,1547018010.0,1547014411.0,1547018010.0,1547014411.0,1547017446.0,1547014411.0,1547014411.0
40.49.75.118,13.0,1547193151.0,1547193151.0,1547193891.0,1547193151.0,1547193151.0,1547193891.0,1547193151.0,1547193891.0,1547193891.0,1547193891.0,1547193151.0,1547193891.0,1547193891.0
162.119.110.178,40.0,1543286062.0,1543286062.0,1543285418.0,1543286117.0,1543286640.0,1543286718.0,1543286600.0,1543285418.0,1543286718.0,1543286640.0,1543284750.0,1543286640.0,1543286640.0
131.63.15.140,70.0,1547193062.0,1547193062.0,1547192512.0,1547192512.0,1547193062.0,1547192512.0,1547193062.0,1547193062.0,1547192512.0,1547193062.0,1547193062.0,1547193062.0,1547193062.0
246.221.45.5,40.0,1543286600.0,1543284750.0,1543286117.0,1543285418.0,1543286117.0,1543285418.0,1543286600.0,1543286718.0,1543286600.0,1543286117.0,1543284750.0,1543286600.0,1543286600.0
137.152.10.147,30.0,481211727.0,450178911.0,504807317.0,587630992.0,557537370.0,188849700.0,377351070.0,557537073.0,307998406.0,437617207.0,188862738.0,504807925.0,504807925.0
119.112.9.109,20.0,590093205.0,469979120.0,584188131.0,324360699.0,481388875.0,413779384.0,557537073.0,460931821.0,1543286640.0,557537073.0,504900956.0,188857038.0,188857038.0
110.239.4.38,20.0,1543286640.0,315397075.0,290792161.0,557533573.0,557530727.0,278026203.0,256909504.0,481387509.0,557530413.0,445934370.0,510433669.0,1543286640.0,1543286640.0
190.134.56.54,40.0,1543286718.0,1543284750.0,1543286117.0,1543286600.0,1543285418.0,1543286718.0,1543286062.0,1543285418.0,1543286718.0,1543285418.0,1543286117.0,1543286600.0,1543286600.0
115.254.75.57,40.0,1543286117.0,1543286600.0,1543286062.0,1543285418.0,1543284750.0,1543285418.0,1543286718.0,1543286718.0,1543286718.0,1543286640.0,1543286600.0,1543285418.0,1543285418.0
41.67.62.54,70.0,1547192512.0,1547193062.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547193062.0,1547193062.0,1547192512.0,1547193062.0,1547193062.0,1547193062.0,1547193062.0
75.120.120.195,50.0,1547017446.0,1547014411.0,1547014411.0,1547018010.0,1547014411.0,1547014411.0,1547018010.0,1547018010.0,1547018010.0,1547018010.0,1547017446.0,1547014411.0,1547014411.0
39.156.217.230,50.0,1547014411.0,1547018010.0,1547014411.0,1547017446.0,1547018010.0,1547018010.0,1547018010.0,1547018010.0,1547018010.0,1547017446.0,1547018010.0,1547014411.0,1547014411.0
143.243.246.127,40.0,1543286117.0,1543286600.0,1543286718.0,1543286640.0,1543284750.0,1543286600.0,1543286600.0,1543286062.0,1543284750.0,1543285418.0,1543284750.0,1543285418.0,1543285418.0
38.43.31.31,10.0,1531801305.0,1531787977.0,1531801122.0,1531801122.0,1531787589.0,1531801122.0,1531801305.0,1531801305.0,1531801305.0,1531787589.0,1531801122.0,1531801305.0,1531801305.0
96.217.216.55,10.0,1531787977.0,1531801305.0,1531787977.0,1531801305.0,1531787589.0,1531801305.0,1531787977.0,1531787977.0,1531801305.0,1531787977.0,1531801122.0,1531801122.0,1531801122.0
6.60.21.31,70.0,1547192512.0,1547193062.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547193062.0,1547192512.0,1547193062.0,1547193062.0,1547193062.0
250.115.202.130,50.0,1547017446.0,1547018010.0,1547014411.0,1547018010.0,1547018010.0,1547018010.0,1547014411.0,1547017446.0,1547014411.0,1547017446.0,1547018010.0,1547017446.0,1547017446.0
123.88.234.192,40.0,1543286718.0,1543286718.0,1543286117.0,1543285418.0,1543286062.0,1543286718.0,1543286640.0,1543286718.0,1543286718.0,1543286600.0,1543286117.0,1543286600.0,1543286600.0
235.60.87.89,10.0,1531801122.0,1531787589.0,1531801122.0,1531787977.0,1531801305.0,1531801122.0,1531787589.0,1531787977.0,1531801305.0,1531801305.0,1531787977.0,1531787589.0,1531787589.0
189.205.115.35,13.0,1547193891.0,1547193891.0,1547193891.0,1547193151.0,1547193151.0,1547193891.0,1547193151.0,1547193891.0,1547193151.0,1547193891.0,1547193891.0,1547193151.0,1547193151.0
115.86.252.41,80.0,1547195869.0,1547196701.0,1547195351.0,1547195351.0,1547196877.0,1547195869.0,1547195605.0,1547196877.0,1547195605.0,1547195869.0,1547196222.0,1547195605.0,1547195605.0
185.51.153.203,10.0,1531801122.0,1531801305.0,1531787977.0,1531787589.0,1531801305.0,1531787977.0,1531801122.0,1531801305.0,1531787977.0,1531801305.0,1531801305.0,1531787977.0,1531787977.0
204.79.52.45,10.0,1531787589.0,1531801122.0,1531801122.0,1531801122.0,1531801305.0,1531787977.0,1531787589.0,1531787589.0,1531787589.0,1531787589.0,1531787589.0,1531801305.0,1531801305.0
233.193.43.107,20.0,413821121.0,504793898.0,510434415.0,450179110.0,469978570.0,594201269.0,441575281.0,445934370.0,504900956.0,587632062.0,365731711.0,548679473.0,548679473.0
179.189.110.132,30.0,126535623.0,456099376.0,590440071.0,307998406.0,557537073.0,397457139.0,580807562.0,384274798.0,188862738.0,445940998.0,384274798.0,377353114.0,377353114.0
241.188.32.190,80.0,1547195869.0,1547196877.0,1547195605.0,1547195605.0,1547196222.0,1547196701.0,1547196877.0,1547196877.0,1547195869.0,1547196877.0,1547196877.0,1547195605.0,1547195605.0
162.165.176.13,10.0,1531787977.0,1531801122.0,1531787977.0,1531787977.0,1531801305.0,1531801122.0,1531787589.0,1531801122.0,1531801305.0,1531801305.0,1531787589.0,1531787589.0,1531787589.0
87.58.196.33,20.0,481388029.0,377354909.0,377316373.0,460931788.0,584299940.0,481387974.0,1543286640.0,584187818.0,469977767.0,527090196.0,324368599.0,443350791.0,443350791.0
90.49.20.93,11.0,1547430644.0,1547430644.0,1547427506.0,1547427506.0,1547428994.0,1547430644.0,1547430147.0,1547428994.0,1547427506.0,1547428994.0,1547431139.0,1547428994.0,1547428994.0
81.227.220.136,50.0,1547014411.0,1547018010.0,1547014411.0,1547018010.0,1547014411.0,1547014411.0,1547018010.0,1547014411.0,1547014411.0,1547018010.0,1547017446.0,1547017446.0,1547017446.0
237.194.123.181,10.0,1531787977.0,1531787977.0,1531787977.0,1531787589.0,1531787589.0,1531801305.0,1531801305.0,1531787977.0,1531787977.0,1531787977.0,1531801122.0,1531801122.0,1531801122.0
4.200.221.60,20.0,510508658.0,557537073.0,557534753.0,377316373.0,445936054.0,548679473.0,445929715.0,590439852.0,188862738.0,481209639.0,557537073.0,332620489.0,332620489.0
157.218.68.228,50.0,1547018010.0,1547017446.0,1547014411.0,1547018010.0,1547014411.0,1547014411.0,1547018010.0,1547017446.0,1547014411.0,1547014411.0,1547014411.0,1547017446.0,1547017446.0
162.153.160.145,70.0,1547193062.0,1547192512.0,1547192512.0,1547193062.0,1547192512.0,1547192512.0,1547193062.0,1547193062.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0
124.98.30.148,80.0,1547196222.0,1547196877.0,1547195869.0,1547195351.0,1547195351.0,1547195605.0,1547195351.0,1547196222.0,1547196877.0,1547195605.0,1547195869.0,1547196701.0,1547196701.0
112.135.247.13,50.0,1547017446.0,1547014411.0,1547014411.0,1547014411.0,1547014411.0,1547017446.0,1547014411.0,1547014411.0,1547018010.0,1547017446.0,1547014411.0,1547018010.0,1547018010.0
144.204.128.113,11.0,1547430147.0,1547430644.0,1547429909.0,1547429292.0,1547430147.0,1547428994.0,1547427506.0,1547429909.0,1547430644.0,1547429292.0,1547429909.0,1547429909.0,1547429909.0
141.188.26.143,10.0,1531801122.0,1531787589.0,1531787589.0,1531787977.0,1531801305.0,1531801305.0,1531801305.0,1531801305.0,1531801305.0,1531801122.0,1531787589.0,1531787589.0,1531787589.0
39.69.141.217,11.0,1547428994.0,1547428994.0,1547430147.0,1547430147.0,1547430147.0,1547428994.0,1547428994.0,1547429292.0,1547429909.0,1547430644.0,1547431139.0,1547430147.0,1547430147.0
50.13.140.138,80.0,1547196701.0,1547195605.0,1547196701.0,1547195869.0,1547196877.0,1547196701.0,1547195605.0,1547196222.0,1547196701.0,1547196877.0,1547195869.0,1547196222.0,1547196222.0
5.152.30.244,40.0,1543286117.0,1543285418.0,1543286718.0,1543286117.0,1543286117.0,1543286117.0,1543284750.0,1543286117.0,1543284750.0,1543286640.0,1543286600.0,1543286718.0,1543286718.0
102.19.201.63,13.0,1547193891.0,1547193891.0,1547193891.0,1547193151.0,1547193151.0,1547193891.0,1547193151.0,1547193891.0,1547193891.0,1547193891.0,1547193151.0,1547193151.0,1547193151.0
46.142.227.182,11.0,1547429909.0,1547430644.0,1547430147.0,1547430644.0,1547428994.0,1547431139.0,1547429292.0,1547431139.0,1547431139.0,1547430644.0,1547427506.0,1547430644.0,1547430644.0
73.4.21.28,30.0,594381089.0,504797716.0,437495533.0,557534813.0,383082305.0,445940040.0,442093255.0,397457108.0,384274798.0,557528512.0,377353876.0,469326359.0,469326359.0
90.176.97.157,70.0,1547192512.0,1547193062.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547193062.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547193062.0,1547193062.0
89.182.123.28,80.0,1547195605.0,1547196701.0,1547196701.0,1547196877.0,1547195351.0,1547195869.0,1547195351.0,1547196701.0,1547196701.0,1547195605.0,1547196222.0,1547196701.0,1547196701.0
136.239.189.92,80.0,1547196222.0,1547196701.0,1547196877.0,1547196222.0,1547195351.0,1547196877.0,1547195351.0,1547195605.0,1547196877.0,1547196222.0,1547195605.0,1547195351.0,1547195351.0
119.19.42.162,10.0,1531787977.0,1531787589.0,1531787977.0,1531787589.0,1531801122.0,1531787977.0,1531787977.0,1531787589.0,1531801122.0,1531801122.0,1531801122.0,1531801305.0,1531801305.0
3.204.37.138,13.0,1547193151.0,1547193891.0,1547193891.0,1547193891.0,1547193891.0,1547193151.0,1547193891.0,1547193151.0,1547193151.0,1547193891.0,1547193891.0,1547193151.0,1547193151.0
167.182.88.104,20.0,443624361.0,519598479.0,187681442.0,481389775.0,482725181.0,247721961.0,482725333.0,481383951.0,442093975.0,557537073.0,442595819.0,1547178448.0,1547178448.0
62.170.213.209,80.0,1547195351.0,1547196701.0,1547196877.0,1547195351.0,1547196222.0,1547195869.0,1547195351.0,1547196222.0,1547195605.0,1547195869.0,1547196877.0,1547195605.0,1547195605.0
147.97.161.186,11.0,1547430147.0,1547429909.0,1547428994.0,1547428994.0,1547429909.0,1547430644.0,1547430147.0,1547429292.0,1547427506.0,1547431139.0,1547430644.0,1547430644.0,1547430644.0
208.131.59.5,50.0,1547017446.0,1547017446.0,1547017446.0,1547017446.0,1547017446.0,1547018010.0,1547017446.0,1547017446.0,1547017446.0,1547017446.0,1547017446.0,1547014411.0,1547014411.0
38.206.30.23,13.0,1547193151.0,1547193891.0,1547193151.0,1547193891.0,1547193151.0,1547193151.0,1547193891.0,1547193151.0,1547193151.0,1547193891.0,1547193891.0,1547193151.0,1547193151.0
163.80.175.11,40.0,1543285418.0,1543286062.0,1543286062.0,1543286640.0,1543286600.0,1543286062.0,1543286640.0,1543285418.0,1543286640.0,1543286640.0,1543285418.0,1543286600.0,1543286600.0
14.4.201.55,10.0,1531801305.0,1531801122.0,1531801305.0,1531787589.0,1531787977.0,1531787589.0,1531801122.0,1531801305.0,1531801122.0,1531787977.0,1531801122.0,1531787589.0,1531787589.0
58.113.53.149,11.0,1547429909.0,1547429909.0,1547429909.0,1547428994.0,1547429909.0,1547429292.0,1547430644.0,1547430644.0,1547430147.0,1547430644.0,1547430147.0,1547430644.0,1547430644.0
106.134.162.188,10.0,1531801305.0,1531787589.0,1531787589.0,1531787977.0,1531801305.0,1531801305.0,1531801305.0,1531787977.0,1531787977.0,1531787589.0,1531787589.0,1531787589.0,1531787589.0
174.251.161.244,10.0,1531787977.0,1531801305.0,1531801122.0,1531787977.0,1531787977.0,1531801305.0,1531787589.0,1531787977.0,1531787977.0,1531787977.0,1531787977.0,1531801122.0,1531801122.0
111.237.138.146,11.0,1547429909.0,1547427506.0,1547429909.0,1547430644.0,1547430147.0,1547427506.0,1547431139.0,1547429909.0,1547431139.0,1547427506.0,1547430147.0,1547428994.0,1547428994.0
81.66.5.204,50.0,1547018010.0,1547018010.0,1547014411.0,1547014411.0,1547018010.0,1547017446.0,1547017446.0,1547014411.0,1547014411.0,1547017446.0,1547017446.0,1547014411.0,1547014411.0
99.78.208.62,40.0,1543286718.0,1543284750.0,1543285418.0,1543285418.0,1543286117.0,1543286718.0,1543286718.0,1543284750.0,1543286640.0,1543286062.0,1543286117.0,1543286117.0,1543286117.0
74.141.12.111,30.0,445940982.0,522067685.0,504910258.0,126536372.0,445941449.0,557536314.0,514693049.0,450178945.0,470981561.0,384274798.0,504797716.0,557537256.0,557537256.0
17.234.235.21,50.0,1547018010.0,1547017446.0,1547018010.0,1547014411.0,1547018010.0,1547018010.0,1547018010.0,1547017446.0,1547018010.0,1547017446.0,1547018010.0,1547018010.0,1547018010.0
248.254.84.118,50.0,1547018010.0,1547014411.0,1547014411.0,1547018010.0,1547018010.0,1547017446.0,1547018010.0,1547017446.0,1547018010.0,1547014411.0,1547017446.0,1547014411.0,1547014411.0
196.50.29.61,10.0,1531801122.0,1531787977.0,1531787977.0,1531801305.0,1531801305.0,1531787977.0,1531787977.0,1531801305.0,1531787977.0,1531787589.0,1531787589.0,1531801305.0,1531801305.0
252.81.82.229,50.0,1547014411.0,1547017446.0,1547018010.0,1547017446.0,1547018010.0,1547017446.0,1547017446.0,1547017446.0,1547014411.0,1547014411.0,1547017446.0,1547014411.0,1547014411.0
184.174.18.62,11.0,1547429909.0,1547430644.0,1547430147.0,1547431139.0,1547429292.0,1547430644.0,1547431139.0,1547429909.0,1547430644.0,1547430147.0,1547430644.0,1547429909.0,1547429909.0
22.175.222.55,11.0,1547431139.0,1547427506.0,1547429292.0,1547430644.0,1547430644.0,1547429909.0,1547429292.0,1547431139.0,1547429292.0,1547429292.0,1547429292.0,1547430644.0,1547430644.0
33.62.186.188,50.0,1547014411.0,1547018010.0,1547017446.0,1547014411.0,1547017446.0,1547017446.0,1547017446.0,1547017446.0,1547018010.0,1547014411.0,1547018010.0,1547017446.0,1547017446.0
147.128.131.21,11.0,1547430147.0,1547428994.0,1547427506.0,1547430644.0,1547428994.0,1547427506.0,1547430147.0,1547429909.0,1547430147.0,1547430644.0,1547430644.0,1547431139.0,1547431139.0
193.120.191.19,30.0,557537073.0,451087500.0,481213642.0,504804140.0,445937704.0,437492327.0,557154921.0,445940920.0,557529720.0,456099520.0,451085097.0,481897660.0,481897660.0
19.5.254.189,10.0,1531787589.0,1531787589.0,1531787977.0,1531787589.0,1531787589.0,1531787977.0,1531787977.0,1531801305.0,1531801305.0,1531801122.0,1531801305.0,1531787589.0,1531787589.0
163.106.78.209,11.0,1547429909.0,1547429292.0,1547430644.0,1547430147.0,1547429909.0,1547430644.0,1547430644.0,1547430147.0,1547428994.0,1547429909.0,1547430147.0,1547430147.0,1547430147.0
164.132.156.210,40.0,1543284750.0,1543285418.0,1543284750.0,1543286640.0,1543285418.0,1543286062.0,1543284750.0,1543284750.0,1543286062.0,1543284750.0,1543286600.0,1543286117.0,1543286117.0
166.60.154.162,11.0,1547431139.0,1547430644.0,1547429292.0,1547429292.0,1547430147.0,1547429292.0,1547428994.0,1547429292.0,1547428994.0,1547431139.0,1547430147.0,1547429292.0,1547429292.0
24.224.224.187,40.0,1543286117.0,1543286062.0,1543286117.0,1543286062.0,1543285418.0,1543286718.0,1543286640.0,1543284750.0,1543286640.0,1543286600.0,1543286600.0,1543286117.0,1543286117.0
246.220.19.139,50.0,1547014411.0,1547018010.0,1547014411.0,1547014411.0,1547017446.0,1547017446.0,1547017446.0,1547014411.0,1547014411.0,1547018010.0,1547014411.0,1547014411.0,1547014411.0
42.86.26.60,10.0,1531787589.0,1531787589.0,1531801122.0,1531801122.0,1531801305.0,1531801122.0,1531787589.0,1531801305.0,1531787977.0,1531787589.0,1531787589.0,1531801122.0,1531801122.0
211.187.192.64,30.0,456099376.0,527089999.0,481209937.0,557537073.0,557537662.0,481389598.0,377353231.0,307998406.0,451087514.0,315392630.0,590440071.0,454770862.0,454770862.0
242.164.22.57,50.0,1547018010.0,1547014411.0,1547014411.0,1547014411.0,1547014411.0,1547014411.0,1547014411.0,1547017446.0,1547017446.0,1547018010.0,1547017446.0,1547018010.0,1547018010.0
32.191.255.23,30.0,188862738.0,349009510.0,504905636.0,587617958.0,557537073.0,445940038.0,437498609.0,188862738.0,557537256.0,451085097.0,437496042.0,437494313.0,437494313.0
154.19.90.105,50.0,1547014411.0,1547017446.0,1547018010.0,1547018010.0,1547014411.0,1547014411.0,1547018010.0,1547018010.0,1547018010.0,1547014411.0,1547014411.0,1547014411.0,1547014411.0
135.49.156.106,80.0,1547196701.0,1547195605.0,1547195869.0,1547195351.0,1547196877.0,1547196877.0,1547195605.0,1547196877.0,1547195351.0,1547195869.0,1547195605.0,1547195605.0,1547195605.0
12.72.242.47,20.0,481389782.0,442359102.0,480614517.0,493683529.0,594380719.0,256882753.0,584299978.0,488879190.0,378422657.0,437495075.0,457628592.0,504899715.0,504899715.0
63.129.182.41,50.0,1547018010.0,1547014411.0,1547014411.0,1547017446.0,1547018010.0,1547014411.0,1547014411.0,1547014411.0,1547017446.0,1547018010.0,1547017446.0,1547018010.0,1547018010.0
97.234.222.47,30.0,587631011.0,594381011.0,504807925.0,315393434.0,384274798.0,445936283.0,514692884.0,307998406.0,445940038.0,519855689.0,384274798.0,445941316.0,445941316.0
188.148.136.143,13.0,1547193891.0,1547193151.0,1547193151.0,1547193151.0,1547193891.0,1547193151.0,1547193151.0,1547193891.0,1547193151.0,1547193151.0,1547193151.0,1547193891.0,1547193891.0
93.195.24.109,11.0,1547429909.0,1547430644.0,1547429909.0,1547430644.0,1547429909.0,1547429909.0,1547429909.0,1547427506.0,1547431139.0,1547429292.0,1547430147.0,1547430147.0,1547430147.0
28.72.47.231,11.0,1547428994.0,1547429909.0,1547431139.0,1547431139.0,1547430644.0,1547430147.0,1547430644.0,1547427506.0,1547427506.0,1547427506.0,1547431139.0,1547430644.0,1547430644.0
6.39.155.7,50.0,1547014411.0,1547017446.0,1547018010.0,1547014411.0,1547018010.0,1547018010.0,1547018010.0,1547014411.0,1547014411.0,1547018010.0,1547017446.0,1547018010.0,1547018010.0
11.206.93.237,40.0,1543286600.0,1543285418.0,1543286718.0,1543286062.0,1543285418.0,1543284750.0,1543286600.0,1543286062.0,1543285418.0,1543286640.0,1543286062.0,1543286117.0,1543286117.0
2.80.180.49,20.0,584188982.0,527090106.0,188862738.0,504899715.0,1547017419.0,557535201.0,469978449.0,272101450.0,377352204.0,437491280.0,349010271.0,413778693.0,413778693.0
246.191.148.196,11.0,1547430147.0,1547430644.0,1547431139.0,1547427506.0,1547428994.0,1547429292.0,1547429292.0,1547431139.0,1547429909.0,1547430147.0,1547430644.0,1547427506.0,1547427506.0
201.59.188.71,80.0,1547196877.0,1547195605.0,1547196222.0,1547196877.0,1547196877.0,1547196222.0,1547195351.0,1547195869.0,1547196701.0,1547196222.0,1547196877.0,1547195605.0,1547195605.0
165.191.169.170,40.0,1543286600.0,1543286117.0,1543286117.0,1543286062.0,1543286600.0,1543286600.0,1543286640.0,1543286718.0,1543286600.0,1543286117.0,1543286718.0,1543286640.0,1543286640.0
86.136.34.123,80.0,1547195869.0,1547196222.0,1547196701.0,1547196222.0,1547196222.0,1547196701.0,1547196222.0,1547196877.0,1547195869.0,1547196701.0,1547195605.0,1547196701.0,1547196701.0
160.161.217.12,70.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547192512.0,1547193062.0,1547193062.0,1547193062.0,1547192512.0,1547193062.0,1547193062.0,1547193062.0
28.130.63.184,40.0,1543286117.0,1543286718.0,1543286640.0,1543284750.0,1543286117.0,1543286062.0,1543286117.0,1543286062.0,1543284750.0,1543286600.0,1543286117.0,1543286718.0,1543286718.0
44.78.20.81,20.0,215882571.0,315395391.0,510508817.0,548679976.0,557537073.0,557540605.0,1547174591.0,272103586.0,258869590.0,510691938.0,349009298.0,188862738.0,188862738.0
4.110.5.128,20.0,383040023.0,469979150.0,1547172564.0,1547174915.0,520004327.0,519599250.0,445939747.0,445937508.0,378422517.0,481389110.0,594380318.0,437497090.0,437497090.0
204.50.38.52,10.0,1531801122.0,1531801305.0,1531787977.0,1531787977.0,1531787589.0,1531787589.0,1531801122.0,1531801122.0,1531801305.0,1531787589.0,1531801305.0,1531801122.0,1531801122.0
189.174.11.177,11.0,1547427506.0,1547430644.0,1547429292.0,1547427506.0,1547431139.0,1547428994.0,1547430644.0,1547431139.0,1547431139.0,1547429292.0,1547431139.0,1547427506.0,1547427506.0
